자치구,안심 주소,CCTV 용도,위도,경도,CCTV 수량,수정 일시
강남구,[청담-297] (6) 도산대로62길 17(19-4)_1,방범,37.52229,127.04305,1,2022-06-23
강남구,[삼성2-289] (6) 선릉로108길63(114-37)_2,방범,37.51094483,127.0492945,1,2022-06-23
강남구,[세곡-231] 2 세곡동(461-10) 은곡마을삼거리[회전,방범,37.46712,127.09442,1,2022-06-23
강남구,[개포1-220] 3 개포로307_개포우성3차A(652)_0,방범,37.48398,127.05731,1,2022-06-23
강남구,[대치1-242] (2) 삼성로 155(507-2)_1,방범,37.4937,127.06352,1,2022-06-23
강남구,[삼성2-289] 2 선릉로108길63(114-37)_0,방범,37.51094483,127.0492945,1,2022-06-23
강남구,[세곡-210] (8) 율현동(253-3)_2,방범,37.47182,127.10621,1,2022-06-23
강남구,[개포4-261] (4) 개포로28길 36(1202-6)_1,방범,37.47708,127.05074,1,2022-06-23
강남구,[논현1-406] (2) 논현1동 124-39 / 학동로8길 15_2,방범,37.51097,127.02479,1,2022-06-23
강남구,[세곡-257] (4) 세곡동288-3_1,방범,37.46494,127.10379,1,2022-06-23
강남구,[대치1-242] (4) 삼성로 155(507-2)_2,방범,37.4937,127.06352,1,2022-06-23
강남구,[논현1-406] (8) 논현1동 124-39 / 학동로8길 15_1,방범,37.51097,127.02479,1,2022-06-23
강남구,[논현1-406] 2 논현1동 124-39 / 학동로8길 15_0,방범,37.51097,127.02479,1,2022-06-23
강남구,[일원본-211] (2) 광평로7길18(720-7)_,방범,37.4839895,127.0791895,1,2022-06-23
강남구,[대치1-242] (8) 삼성로 155(507-2)_3,방범,37.4937,127.06352,1,2022-06-23
강남구,[논현2-294] (2) 논현동274-4_1 ,방범,37.511047,127.038558,1,2022-06-23
강남구,[논현2-294] (4) 논현동274-4_2 ,방범,37.511047,127.038558,1,2022-06-23
강남구,[대치1-242] 3 삼성로 155(507-2)_0,방범,37.4937,127.06352,1,2022-06-23
강남구,[논현2-294] (6) 논현동274-4_3 ,방범,37.511047,127.038558,1,2022-06-23
강남구,[논현2-294] 3 논현동274-4_0,방범,37.511047,127.038558,1,2022-06-23
강남구,[일원본-211] (4) 광평로7길18(720-7)_,방범,37.4839895,127.0791895,1,2022-06-23
강남구,[역삼2-222] 0 논현로64길23(782-38)_,방범,37.4937045,127.0423385,1,2022-06-23
강남구,[논현2-269] (2) 논현로120길20(222-11)_1,방범,37.51105,127.03386,1,2022-06-23
강남구,[개포4-261] (8) 개포로28길 36(1202-6)_3,방범,37.47708,127.05074,1,2022-06-23
강남구,[논현2-269] (4) 논현로120길20(222-11)_3,방범,37.51105,127.03386,1,2022-06-23
강남구,[일원2-226] (4) 개포동 개포로109길 21_1 ,방범,37.49372,127.07663,1,2022-06-23
강남구,[논현2-269] (8) 논현로120길20(222-11)_2,방범,37.51105,127.03386,1,2022-06-23
강남구,[논현2-269] 3 논현로120길20(222-11)_,방범,37.51105,127.03386,1,2022-06-23
강남구,[일원본-211] 2 광평로7길18(720-7)_0,방범,37.4839895,127.0791895,1,2022-06-23
강남구,[일원2-226] (6) 개포동 개포로109길 21_3 ,방범,37.49372,127.07663,1,2022-06-23
강남구,[삼성2-231] 봉은사로442-6(114-25,방범,37.5110597,127.0485163,1,2022-06-23
강남구,[삼성1-226] (2) 삼성로104길22(153)_3,방범,37.5111108,127.0563912,1,2022-06-23
강남구,[일원2-226] (8) 개포동 개포로109길 21_2 ,방범,37.49372,127.07663,1,2022-06-23
강남구,[삼성1-226] (4) 삼성로104길22(153)_2,방범,37.5111108,127.0563912,1,2022-06-23
강남구,[삼성1-226] (8) 삼성로104길22(153)_1,방범,37.5111108,127.0563912,1,2022-06-23
강남구,[역삼1-122] (2) 강남대로 강남역_2 ,방범,37.4840158,127.0782142,1,2022-06-23
강남구,[일원2-226] 3 개포동 개포로109길 21_0 ,방범,37.49372,127.07663,1,2022-06-23
강남구,[삼성1-226] 3 삼성로104길22(153)_,방범,37.5111108,127.0563912,1,2022-06-23
강남구,[세곡-210] 3 율현동(253-3)_,방범,37.47182,127.10621,1,2022-06-23
강남구,[개포4-261] 3 개포로28길 36(1202-6)_0,방범,37.47708,127.05074,1,2022-06-23
강남구,[논현2-236] (2) 봉은사로49길19(270-32)_,방범,37.5111514,127.0417786,1,2022-06-23
강남구,[일원1-248] (4) 일원로 7(618)_1 ,방범,37.49374,127.08013,1,2022-06-23
강남구,[논현2-236] (4) 봉은사로49길19(270-32)_,방범,37.5111514,127.0417786,1,2022-06-23
강남구,[논현2-236] (8) 봉은사로49길19(270-32)_,방범,37.5111514,127.0417786,1,2022-06-23
강남구,[일원본-212] 광평로3길21(730) 일원,방범,37.4840158,127.0782142,1,2022-06-23
강남구,[일원1-248] (6) 일원로 7(618)_2 ,방범,37.49374,127.08013,1,2022-06-23
강남구,[논현2-236] 3 봉은사로49길19(270-32)_,방범,37.5111514,127.0417786,1,2022-06-23
강남구,[삼성2-277] (2) 삼성동116-37_3,방범,37.511177,127.052273,1,2022-06-23
강남구,[일원1-248] 0 일원로 7(618)_0,방범,37.49374,127.08013,1,2022-06-23
강남구,[삼성2-277] (4) 삼성동116-37_4,방범,37.511177,127.052273,1,2022-06-23
